FID_1,X,Y,ID,Pb,Zn,Cu,SIGLE_PEDO,region_etm,GS
11555,220314,121328,4847,23,80,13.8571428571,Aba1,8,9
11556,220389,121306,4848,,75,13.8571428571,Aba1,8,9
12024,212163,125920,51116,,149.5,,Aba1,8,9
11481,218618,132706,4805,27,95,9.09523809524,ADp,8,9
11483,218618,132706,4806,29,116,12.9047619048,ADp,8,9
12792,201733,135129,61097/B,,80.9736842105,12.2795698925,(x)ADa,6,9
12107,201200,136200,51215-3,21.6,71.8,8.2,Aba1,6,9
12108,201200,136200,51215-4,21.2,69,8.5,Aba1,6,9
12109,201200,136200,51215-5,,89,9,Aba1,6,9
12315,205477,137852,53491,22.1696428571,97,14,Aba1,6,9
12172,219000,142400,51386/1,22.2,67,20,Aca1,6,9
12741,203834,135578,60783/M,,110.973684211,17.5591397849,ADa1,6,9
12759,225883,138101,60873/E,,212.157894737,16.2688172043,ADa,6,9
12760,225883,138101,60873/F,,202.421052632,15.5161290323,ADa,6,9
12761,225883,138101,60873/G,,220.447368421,14.3333333333,ADa,6,9
12762,225883,138101,60873/H,,213.342105263,17.2365591398,ADa,6,9
12154,219400,142000,51265/33,20,248,34.6,Ada1,6,9
12566,218638,139292,6_ThBailleux,,13026.6222857,,OX,6,43
12743,269950,103955,60783/P,,125.052631579,20.7849462366,Gbbfi2,16,31
12337,231234,158904,53881,26.5818181818,139.131578947,18.619047619,Aba1,2,4
12591,226600,153700,60100/C,,190.447368421,33.3655913978,Abp(c),2,4
12594,226560,153724,60100C,,190.447368421,33.3655913978,Abp(c),2,4
12795,235500,162000,61120/C,,117.157894737,11.0752688172,Aba1,2,4
12153,220200,146600,51265/3,31.8,148,20,Aba1,2,4
12592,226898,150642,60100A,,165.447368421,35.5161290323,Abp(c),2,4
12702,225515,148425,60711/E,,199.657894737,15.623655914,Abp(c),2,4
12593,226525,150803,60100B,,187.815789474,35.5161290323,Abp0_1,2,4
12740,239458,127263,60783/K,,123.605263158,15.5161290323,Gbbkr2,10,22
12110,212163,125920,51216,,82.5263157895,,Aba1,8,9
12146,223000,130000,51265/10,,137,20,ADp,8,9
12557,226894,132636,59304,33.87,97.0263157895,17.3440860215,GbBf2,8,13
12558,226954,132565,59404,30.87,112.815789474,9.81720430107,GbBkf2,8,19
12739,270403,120630,60783/J,,119.131578947,25.623655914,Gbbfi2(r),14,29
12742,270456,120157,60783/O,,105.710526316,22.0752688172,Gbbfi2(r),14,29
12796,270261,120718,61120/D,,120.184210526,24.1182795699,Gbbfi2(r),14,29
12932,240142,149614,73_ThBailleux,,,54.4306436782,GbBf0_1,7,15
12936,240142,149614,74_ThBailleux,,,47.0567264368,GbBf0_1,7,15
12940,240142,149614,75_ThBailleux,,,49.4233701149,GbBf0_1,7,15
12944,240142,149614,76_ThBailleux,,,52.6110942529,GbBf0_1,7,15
12953,240142,149614,77_ThBailleux,,,51.9726712644,GbBf0_1,7,15
12962,240142,149614,78_ThBailleux,,,41.1115770115,GbBf0_1,7,15
12971,240142,149614,79_ThBailleux,,,49.4874758621,GbBf0_1,7,15
12992,240142,149614,80_ThBailleux,,,61.9002804598,GbBf0_1,7,15
13041,240142,149614,81_ThBailleux,,,58.4043218391,GbBf0_1,7,15
13120,240142,149614,82_ThBailleux,,,45.1098436782,GbBf0_1,7,15
13139,240142,149614,83_ThBailleux,,,42.7186114943,GbBf0_1,7,15
13144,240142,149614,84_ThBailleux,,,45.7570482759,GbBf0_1,7,15
